article_id,guid,title,description,category,image,image_caption,image_credit,pub_date,tags,author,source,language,image_name,fetching_time
E9vlniStoaEfc0GF,https://www.ynet.co.il/news/article/bjecey03eg,"נתניהו לא מתחייב לנצור את האש: ""נערכים ליישום מיידי של שחרור כל החטופים לפי תוכנית טראמפ""","רה""מ מגיב בהצהרה לילית חריגה להצהרת טראמפ, שבירך על תגובת חמאס לתוכינתו ודרש מישראל לעצור את ההפצצות בעזה. נתניהו לא התייחס לכך, ומסר כי ""לאור תגובת חמאס ישראל נערכת ליישום מיידי של השלב הראשון בתוכנית טראמפ"". הוא הבטיח לשתף פעולה עם הנשיא ""כדי לסיים את המלחמה בהתאם לעקרונות שהציבה ישראל""",חדשות|פוליטי מדיני|מדיני,E9vlniStoaEfc0GF.jpg,נתניהו וטראמפ במסיבת עיתונאים בבית הלבן,צילום: REUTERS/Jonathan Ernst,2025-10-04T03:11:30+03:00,חמאס|בנימין נתניהו|דונלד טראמפ|חטופים|חרבות ברזל|תוכנית טראמפ לעזה,איתמר אייכנר,ynet,he,HytKAyY3eg_0_100_2758_1553_0_medium,2025-10-04T00:39:50.572266+00:00
tFT2RjZnB6humEoC,https://www.ynet.co.il/news/article/s1e30063ex,"גורמי מודיעין אמריקניים: ""נתניהו הורה לתקוף את המשט לעזה - עם כטב""מים ששוגרו מצוללת""","רשת CBS מדווחת כי השריפות שפרצו על שתי סירות במשט לעזה בחודש שעבר, כשעגנו בתוניסיה, הוצתו על ידי חומרי בערה שהוטלו מכטב""מים - ושאלו שוגרו מצוללת. גורמי מודיעין בארה""ב טענו שנתניהו ""הורה ישירות"" על התקיפות הללו",חדשות|פוליטי מדיני|צבא וביטחון,tFT2RjZnB6humEoC.jpg,רגעי הפגיעה והשריפה על סירת המשט לעזה שעגנה בתוניסיה,ynet,2025-10-04T02:46:42+03:00,"בנימין נתניהו|צוללת|משט לעזה|כטב""מ|חרבות ברזל",ynet,ynet,he,r1xFTFH0qxg_0_38_1280_721_0_medium,2025-10-04T00:39:50.572378+00:00
uNd2_6b6FO3pGKMg,https://www.ynet.co.il/news/article/bjqxg0p3lx,"""קרובה יותר מתמיד לחבק את מתן"": משפחות חטופים אופטימיות מהצהרת טראמפ","נשיא ארה""ב השתכנע שחמאס ""מוכן לשלום"" ודרש מישראל לעצור את התקיפות בעזה - ובמטה משפחות החטופים בירכו: ""קוראים לרה״מ להורות מיידית על מו""מ יעיל ומהיר להשבת כל חטופינו"". ענת אנגרסט הודתה לטראמפ: ""אחרי שנתיים של סבל, אני חשה קרובה יותר מתמיד לחבק את מתן"". רובי חן: ""אופטימיות זהירה""",חדשות|חדשות בארץ|כללי,uNd2_6b6FO3pGKMg.jpg,ענת וחגי אנגרסט בעצרת,צילום: ליאור רוטשטיין,2025-10-04T02:24:43+03:00,חטופים|חרבות ברזל|תוכנית טראמפ לעזה,ליהיא גורדון,ynet,he,Bytlntvtee_130_135_1015_571_0_medium,2025-10-04T00:39:50.572428+00:00
zLTmi1L4p7xWAxEP,https://www.ynet.co.il/news/article/hjdqu662lx,"טראמפ כבל את ידי ישראל: לא עוד מו""מ תחת אש | פרשנות","הנשיא קיבל את תשובת חמאס והתעלם מעובדות כנראה בגלל תקוותו לפרס נובל - גם במחיר הישג לעניים. בהודעתו הוא מסכן את נתניהו גם פוליטית. השלב הבא: צוות מו""מ לדוחא - אולי הפעם בכיר יותר",חדשות|פוליטי מדיני|מדיני,zLTmi1L4p7xWAxEP.jpg,"- נשיא ארה""ב דונלד טראמפ מגיב לתשובת חמאס",ynet,2025-10-04T01:14:01+03:00,חמאס|רצועת עזה|דונלד טראמפ,איתמר אייכנר,ynet,he,S1HFv3p2xg_4_0_843_475_0_medium,2025-10-04T00:39:50.572473+00:00
kLhgVJ6RdxpeJXgH,https://www.ynet.co.il/news/article/rkbwr3p3ll,"טראמפ: ""מאמין שחמאס מוכן לשלום, ישראל צריכה להפסיק להפציץ את עזה מיד""","חמאס אמר ""כן למו""מ"" ולא ""כן לתוכנית"", אבל נשיא ארה""ב השתכנע: ""אני מאמין שהם מוכנים לשלום מתמשך"". הוא דרש מישראל לעצור את ההפצצות ""כדי שנוכל לשחרר את החטופים בבטחה"", בהמשך פרסם סרטון שבו הודה לקטאר וטורקיה - מבלי להזכיר כלל את נתניהו: ""זה יום חסר תקדים, כולם יקבלו יחס הוגן"". רה""מ ""הופתע"", ולא התחייב לנצור את האש: ""נערכים ליישום מיידי של שחרור החטופים""",חדשות|פוליטי מדיני|מדיני,kLhgVJ6RdxpeJXgH.jpg,"נשיא ארה""ב דונלד טראמפ מגיב לתשובת חמאס",ynet,2025-10-04T00:20:26+03:00,חמאס|רצועת עזה|חטופים|תוכנית טראמפ לעזה,איתמר אייכנר|ליאור בן ארי,ynet,he,S1HFv3p2xg_0_0_846_474_0_medium,2025-10-04T00:39:50.572512+00:00
yXETcO_SbcZ68mm5,https://www.ynet.co.il/news/article/r1h3cdt2lg,"רבים מיהודי מנצ'סטר משוכנעים אחרי הפיגוע: ""לעזוב? זו כבר שאלה של מתי""","כ-30 אלף יהודים חיים בקהילה בקרומפסאל פארק, שספגה פיגוע מזעזע ביום כיפור. אייבי לא יאפשר לילדים להסתובב לבד ברחוב, ג'וש סיפר על שני הנרצחים: ""מלווין תמיד חייך, אדריאן היה מיוחד במינו"". א.י הלטר משוכנע: ""גם לנוצרים אין כאן עתיד. המוסלמים רוצים להשתלט"". העדויות, והטקס בגשם זלעפות",חדשות|חדשות בעולם,yXETcO_SbcZ68mm5.jpg,מנצ,צילום: REUTERS/Hannah McKay,2025-10-03T22:39:33+03:00,יום כיפור|בריטניה|מנצ'סטר|בית כנסת|פיגוע,תמר שבק|מנצ'סטר,ynet,he,HJ3MrFphle_0_0_3000_2000_0_medium,2025-10-03T21:04:12.707313+00:00
6GxZL80pkVj5r91L,https://www.ynet.co.il/news/article/bkoilcp3ee,"חמאס השיב ב""כן, אבל"" לתוכנית טראמפ: ""מוכנים למו""מ ולשחרור כל החטופים""","בלי להזכיר את הדרישה לפירוק מנשק, או כוח בינלאומי: חמאס הודיע שהוא מסכים לשחרור כל החטופים כפי שפורט בתוכניתו של הנשיא טראמפ, אבל לא מסר תשובה ברורה לשלל סעיפים נוספים שהופיעו בהצעה: ""עתיד עזה וזכויות העם הפלסטיני יידונו במסגרת לאומית"". בכיר בארגון הטרור: שחרור כל החטופים ב-72 שעות זה לא ריאלי. מוכנים למו""מ לגבי הנשק, אבל הוא יישאר בעזה",חדשות|פוליטי מדיני|מדיני,6GxZL80pkVj5r91L.jpg,"דונלד טראמפ, הריסות עזה","צילום: REUTERS/Ken Cedeno,  REUTERS/Mahmoud Issa",2025-10-03T22:11:59+03:00,חמאס|רצועת עזה|חרבות ברזל|מרכבות גדעון|מרכבות גדעון ב',עינב חלבי|ליאור בן ארי,ynet,he,rkaFUopnge_0_0_850_479_0_medium,2025-10-03T21:04:12.707407+00:00
Hzz-vjXZwJOAX8m1,https://www.ynet.co.il/news/article/rks3900t3ex,"צעקות על סגן ר""מ בריטניה במנצ'סטר; המחבל נחשד באונס ושוחרר, אביו חגג את 7/10","דיוויד לאמי, שזכור בישראל כשר החוץ העוין, הגיע לטקס ליד בית הכנסת - והתקשה לנאום. ""תתבייש"", קראו לו בקהל. ב""גרדיאן"" דווח: ג'יהאד א-שאמי נחקר בחשד לאונס מוקדם יותר השנה, אבל לא היה על הכוונת של גורמי המאבק בטרור. אביו התנער מהפיגוע, אבל בטבח חגג: ""איפה ההתנגדות עם רקטות לחיפה?""",חדשות|חדשות בעולם,Hzz-vjXZwJOAX8m1.jpg,"הצעקות על דיוויד לאמי בטקס. ""אתם אפשרתם לזה לקרות""-מנצ","צילום:  REUTERS/Hannah McKay, Christopher Furlong/Getty Images",2025-10-03T20:07:59+03:00,בריטניה|מנצ'סטר|בית כנסת|פיגוע,ynet,ynet,he,HyHv4K63lg_0_0_850_479_0_medium,2025-10-03T18:14:47.668186+00:00
UsGMU9hvO65vbtl_,https://www.ynet.co.il/news/article/r1mjjop2gl,"טראמפ רוצה ""כן"", בלי ""אבל"": התרחישים אחרי האולטימטום - והציפיות מחמאס","באנקרה ובדוחא רוצים שחמאס יגיב בחיוב ואחר כך ייכנס למו""מ, אבל בארגון הטרור מאותתים שיגישו הסתייגויות לנוסח שפרסם הנשיא האמריקני. בדיון ביטחוני אצל נתניהו דנו בתרחישים - ובאפשרות של השלמת כיבוש העיר עזה בגיבוי אבסולוטי של הנשיא - שהזהיר את חמאס: ""רק צריך לתת את הפקודה GO""",חדשות|פוליטי מדיני|מדיני,UsGMU9hvO65vbtl_.jpg,טראמפ ונתניהו במסיבת עיתונאים בבית הלבן,צילום: ANDREW CABALLERO-REYNOLDS / AFP,2025-10-03T19:30:03+03:00,חמאס|רצועת עזה|דונלד טראמפ|חטופים|מרכבות גדעון|מרכבות גדעון ב',איתמר אייכנר,ynet,he,HkZZWL00hll_0_29_3000_1689_0_medium,2025-10-03T18:14:47.668275+00:00
NvUONzFKaIJi2YmX,https://www.ynet.co.il/news/article/rkj3zoa3xl,בתיאום עם ישראל: טורקיה תשלח מטוס לפינוי 140 פעילי משט - גם ממלזיה ואינדונזיה,"פרסום ראשון: לצד מטוס הפינוי מטורקיה, ישראל תעביר עשרות אזרחים ערבים ממדינות כמו תוניסיה ואלג'יריה לירדן. פעילים אירופים יוטסו במטוס חכור, עדיין לא ברור לאן",חדשות|פוליטי מדיני|מדיני,NvUONzFKaIJi2YmX.jpg,דגל אלג-המשט בדרכו לחופי עזה,REUTERS/Stefanos Rapanis/File Photo,2025-10-03T19:11:19+03:00,אינדונזיה|טורקיה|מלזיה|משט לעזה,איתמר אייכנר,ynet,he,Hyt2kOq2gx_0_0_3000_2001_0_medium,2025-10-03T18:14:47.668322+00:00
3LeWIfUmtNDcRBFi,https://www.ynet.co.il/news/article/b1s00rbu2ex,"הקעקוע הסגיר את ""התגלמות הרוע"": זו הכנופייה שטלטלה את חוקרי מחלק הרצח","החוקרים שלרוב עוסקים במקרים הקשים ביותר בימ""ר מרכז לא היו יכולים להישאר אדישים לאכזריות שבתיק הזה: 6 בני אדם גנבו ללפחות 140 קשישות את הארנק והטלפון באוטובוס, משכו אלפים - והותירו אותן בודדות וחסרות כל ברחוב. הסכום הכולל: 1.2 מיליון שקל. ""הרגשנו שיש פצצה מתקתקת בחוץ, ישבנו מול נשים שהלב יצא אליהן"", מספרים החוקרים. כך פוצחה הפרשה",חדשות|חדשות בארץ|משפט ופלילים,3LeWIfUmtNDcRBFi.jpg,מעצר חברי החוליה הגיאורגית,צילום: דוברות המשטרה,2025-10-03T18:06:20+03:00,משטרה|הונאה|פשע|גניבה|קשישים|עוקץ|כנופיה|מגזין חדשות,מאיר תורג'מן,ynet,he,SktBCS2nex_0_0_850_479_0_medium,2025-10-03T15:11:48.915744+00:00
N-xX-0oXhQVj5gV-,https://www.ynet.co.il/news/article/hkatava3xe,"תושב הגולן מת לאחר שנעקץ ע""י צרעה במהלך טיול","ליבנה שלוי (42) ממושב יונתן, מנהל המרכז הקהילתי גולן, פיתח תגובה אלרגית לעקיצה בזמן טיול משפחתי. הוא שירת מאות ימים במילואים, והיה בשירות פעיל - ממנו יצא לחופשה קצרה. ""הוא הותיר חותם והספיק לבנות עתיד של עשייה מבטיחה"", ספד לו ראש המועצה",חדשות|חדשות בארץ|כללי,N-xX-0oXhQVj5gV-.jpg,"ליבנה שלוי ז""ל",צילום: מתוך פייסבוק,2025-10-03T17:54:20+03:00,"רמת הגולן|מד""א|עקיצה",יאיר קראוס|ישראל מושקוביץ,ynet,he,SJ2fxDa3gg_0_107_1280_721_0_medium,2025-10-03T15:11:48.915833+00:00
Fg1a4J3MkdsekZpl,https://www.ynet.co.il/news/article/h14h007anxl,"העימות בין החמולה לחמאס - והאישור של צה""ל: הפצצנו את המחבלים | תיעוד","בעזה דיווחו על עימותים קשים בין ארגון הטרור לחמולת אל-מג'אידה, שביתה הותקף על ידי מחבלים. יחידה של חמאס הגיעה חמושה במטענים, מקלעים ורקטות RPG - אך 22 מחבריה חוסלו. בצה""ל אישרו: הפצצנו אותם מהאוויר",חדשות|פוליטי מדיני|פלסטינים,Fg1a4J3MkdsekZpl.jpg,תיעוד: כוחות צה”ל חיסלו חוליית מחבלים מארגון הטרור חמאס שתכננה לבצע פשיטה למרחב הומניטרי בחאן יונס בו שוהים תושבים עזתים,"צילום: דובר צה""ל",2025-10-03T17:41:58+03:00,חמאס|עזה|רצועת עזה|פלסטינים,עינב חלבי|יואב זיתון,ynet,he,SJj1JDT3lx_126_54_1153_649_0_medium,2025-10-03T15:11:48.915878+00:00
r-Z3j1ByMtW7saW4,https://www.ynet.co.il/news/article/hyxmq8a2ll,טראמפ מציב אולטימטום לחמאס: הסכם עד הלילה שבין ראשון לשני - או גיהינום שלא נראה מעולם,"נשיא ארה""ב הציב לחמאס מועד אחרון לקבל את הצעתו, והזהיר: ""רוב אנשי הארגון מכותרים - רק מחכים שאתן פקודה וחייהם יחוסלו"". הוא קרא לפלסטינים החפים מפשע לעזוב את העיר עזה. ""למזלו של חמאס - תינתן לו הזדמנות אחת. שחררו את החטופים עכשיו!"", הוסיף",חדשות|פוליטי מדיני|מדיני,r-Z3j1ByMtW7saW4.jpg,"ארה""ב כינוס קצינים של שר ההגנה פיט הגסת",צילום: AP Photo/Evan Vucci,2025-10-03T17:15:46+03:00,דונלד טראמפ|חטופים|תוכנית טראמפ לעזה|מרכבות גדעון ב',איתמר אייכנר,ynet,he,SkEAAPF3eg_0_0_3000_1689_0_medium,2025-10-03T15:11:48.915920+00:00
DW7JAZxxUn7bssNg,https://www.ynet.co.il/news/article/h1zusrp2xl,"פסל האפיפיור נעטף בכאפייה, רבבות פרו-פלסטינים ברחובות איטליה: ""אי אפשר לשתוק""","שביתה כללית של האיגודים בארץ המגף אחרי עצירת המשט: רבבות יצאו להפגנות ברחובות, עיכובים בתחנות הרכבת. ""לעצור את מכונת המלחמה"", קראו במילאנו - שם התפתחו עימותים ונחסם כביש הטבעת. ראש הממשלה מלוני עקצה: לוותר על יום עבודה בשביל עזה? זה תירוץ לסוף שבוע ארוך",חדשות|חדשות בעולם,DW7JAZxxUn7bssNg.jpg,מחאות פרו פלסטיניות באיטליה,צילום: REUTERS/Yara Nardi,2025-10-03T16:51:20+03:00,איטליה|הפגנה|הפגנות,סוכנויות הידיעות,ynet,he,rkgelUr62ge_872_577_1909_1075_0_medium,2025-10-03T15:11:48.915961+00:00
8AkZWHDqKgau1ZdR,https://www.ynet.co.il/news/article/ry3wos6nxl,"הרב הגיבור מבית הכנסת במנצ'סטר משחזר לראשונה: ""הסתכלתי בפני הרוע""","בריאיון לערוץ ITV הבריטי דיבר הרב דניאל ווקר על הפיגוע המזעזע בבית הכנסת ביום כיפור: המחבל ג'יהאד א-שאמי ""צרח איומים"", המאבטח ואחד המתנדבים שנפצעו ""חסמו אותו בגופם"". על האיום מפרוץ המלחמה: ""מרגישים פחות בטוחים. השנאה מדאיגה מאוד"". משפחת המחבל התנערה ממנו: ""מעשה מתועב""",חדשות|חדשות בעולם,8AkZWHDqKgau1ZdR.jpg,"הרב דניאל ווקר, שחסם את דלת בית הכנסת בפיגוע במנצ",צילום: Paul Currie / AFP,2025-10-03T16:32:35+03:00,בריטניה|מנצ'סטר|פיגוע,ynet,ynet,he,BytB11E2hel_0_0_850_479_0_medium,2025-10-03T15:11:48.916000+00:00
HIKP_uRkJpu6lrlb,https://www.ynet.co.il/news/article/hy4t64t2ee,נשלח לחסל את מפקדו: חייל מילואים נאשם בריגול לאיראן; עובד בים המלח נעצר,"מאור קרינגל וטל עמרם מחולון הואשמו בתיעוד יעדים שונים בישראל, אותם העבירו לידי סוכנים איראנים. קרינגל שירת אז במילואים ותיעד גם את הבסיסים בהם הוצב - ואף התבקש לחסל את מפקדו תמורת 100 אלף שקלים. המשטרה ושב""כ עצרו חשוד נוסף",חדשות|חדשות בארץ|משפט ופלילים,HIKP_uRkJpu6lrlb.jpg,מעצר ישראלי בחשד לריגול איראני,צילום: שאטרסטוק,2025-10-03T15:43:22+03:00,איראן|כתב אישום|ריגול|חולון|מרגל|אישום,רועי רובינשטיין|מאיר תורג'מן,ynet,he,SyZQcn7Bex_0_0_850_479_0_medium,2025-10-03T15:11:48.916038+00:00
d35AB6dPMzNVAEKe,https://www.ynet.co.il/news/article/b1s00rbu2ex,"הקעקוע הסגיר את ""התגלמות הרוע"": זו הכנופייה שטלטלה את חוקרי מחלק הרצח","החוקרים שלרוב עוסקים במקרים הקשים ביותר בימ""ר מרכז לא היו יכולים להישאר אדישים לאכזריות שבתיק הזה: 6 בני אדם גנבו ללפחות 140 קשישות את הארנק והטלפון באוטובוס, משכו אלפים - והותירו אותן בודדות וחסרות כל ברחוב. הסכום הכולל: 1.2 מיליון שקל. ""הרגשנו שיש פצצה מתקתקת בחוץ, ישבנו מול נשים שהלב יצא אליהן"", מספרים החוקרים. כך פוצחה הפרשה",חדשות|חדשות בארץ|משפט ופלילים,d35AB6dPMzNVAEKe.jpg,מעצר חברי החוליה הגיאורגית,צילום: דוברות המשטרה,2025-10-03T14:34:58+03:00,משטרה|הונאה|פשע|גניבה|קשישים|עוקץ|כנופיה|מגזין חדשות,מאיר תורג'מן,ynet,he,SktBCS2nex_0_0_850_479_0_medium,2025-10-03T12:18:19.763823+00:00
Q4JcR0iN1ejm4nEu,https://www.ynet.co.il/news/article/h1q1q3yhee,"תיק ""המלאך"" נפתח: המסמכים הסודיים חושפים את ההונאה המצרית לפני המלחמה","היום מתפרסם ב""7 ימים"" של ""ידיעות אחרונות"" החלק השני בתחקיר המעלה כי הסוכן אשרף מרואן, שכונה ""המלאך"", לא היה המרגל הטוב ביותר של ישראל אי-פעם כפי שהוצג, אלא חוד החנית של תוכנית הטעיה לקראת המתקפה ביום כיפור באוקטובר 1973. הגילויים מעוררים תגובות רבות בישראל ובמצרים. כעת מתפרסמים כאן לראשונה כמה מסמכים מתוך אלפי העמודים בתיקים הסודיים של האיש ששיטה במוסד ובמדינת ישראל כולה",חדשות|מיוחד,Q4JcR0iN1ejm4nEu.jpg,אשרף מרואן גולדה מאיר צבי זמיר,"יובל חן, אוסף התצלומים הלאומי, לע""מ",2025-10-03T14:18:15+03:00,המוסד|מצרים|גולדה מאיר|ריגול|מלחמת יום כיפור|מלחמת יום הכיפורים|צבי זמיר,רונן ברגמן,ynet,he,H19BuQ32xe_0_0_850_479_0_medium,2025-10-03T12:18:19.763912+00:00
gHkzrYYW97mubB69,https://www.ynet.co.il/news/article/h14h007anxl,הפלסטינים טוענים: לפחות 22 מחבלי חמאס נהרגו בעימות עם חמולה בחאן יונס,"בעזה דיווחו על עימותים קשים בין ארגון הטרור לחמולת אל-מג'אידה, שביתה הותקף הבוקר על ידי מחבלים. יחידה של חמאס הגיעה חמושה במטענים, מקלעים ורקטות RPG - אך 22 מחבריה חוסלו",חדשות|פוליטי מדיני|פלסטינים,gHkzrYYW97mubB69.jpg,חמולה בחאן יונס-חמולת קטאטוה מאבטחת את חלוקת הסיוע בחאן יונס,ynet,2025-10-03T14:10:25+03:00,חמאס|עזה|רצועת עזה|פלסטינים,עינב חלבי,ynet,he,rJWquUj54ex_0_171_1280_721_0_medium,2025-10-03T12:18:19.763960+00:00
_pWFyvX-FHoLWurJ,https://www.ynet.co.il/news/article/syur0ltnxg,"הצתות, ונדליזם והרוגים: ""אויבי מרוקו מנסים לגרור את הצעירים למחאות""","מחאת דור ה-Z בקריאה לרפורמה בחינוך ובבריאות: בכמה ערים במרוקו ממשיכים צעירים להתעמת עם כוחות הביטחון. מפגינה בת 20 סיפרה: ""אנחנו פוחדים ללכת לבתי חולים ציבוריים בגלל התנאים שיש בהם, בזמן שהמחירים לטיפול במגזר הפרטי גבוהים"". פעיל חברתי ל-ynet: ""המדינה מאפשרת לצעירים לבטא שאיפות""",חדשות|חדשות בעולם,_pWFyvX-FHoLWurJ.jpg,הפגנה בקזבלנקה שבמרוקו בדרישה לשירותים ציבוריים טובים יותר,צילום: AP Photo/Mosa,2025-10-03T14:09:59+03:00,מונדיאל|מרוקו|הפגנות החרדים,ליאור בן ארי,ynet,he,HysGUmanlg_0_96_3000_1689_0_medium,2025-10-03T12:18:19.764000+00:00
-j3yvFlEWfrnvhj9,https://www.ynet.co.il/news/article/ry00xixphex,"""תכננו פיגועים נגד ישראלים"": חוליית הטרור שנעצרה בגרמניה - ומעורבות המוסד","המוסד חשף כי שלושת חברי חמאס שנעצרו בגרמניה נעצרו לאחר שיתוף פעולה בין ארגון הביון הישראלי לכוחות המודיעין במדינה: ""חלק מפעילות ברחבי אירופה בשבועות האחרונים, כולל באוסטריה"". לפי ההודעה, הפרשייה נפרשת במספר מדינות: ""בוצעו מעצרים נוספים של פעילים החשודים בטרור""",חדשות|פוליטי מדיני|מדיני,-j3yvFlEWfrnvhj9.jpg,שוטרים אוקטוברפסט גרמניה פסטיבל,AP Photo/Matthias Schrader,2025-10-03T14:08:09+03:00,חמאס|המוסד|טרור|גרמניה|פיגוע,איתמר אייכנר,ynet,he,SkcY7fjhlg_0_84_800_451_0_medium,2025-10-03T12:18:19.764037+00:00
4owJe58scjll9w95,https://www.ynet.co.il/news/article/ry0ecmahle,לראשונה: אישה נבחרה למנהיגה הרוחנית של הכנסייה האנגליקנית,"שרה מולאלי, שהוכרזה לארכיבישוף מקנטרברי, תהיה הראשונה שתעמוד בראש הכנסייה הממלכתית של אנגליה ב-1,400 שנות קיומה. האתגר הגדול: שיקום האמון בעקבות טיוח התעללות מינית בילדים",חדשות|חדשות בעולם,4owJe58scjll9w95.jpg,"שרה מולאלי- שרה מולאלי, ארכיבישוף של קנטרברי",צילום: Paul Childs - WPA Pool/Getty Images,2025-10-03T13:32:23+03:00,בריטניה|כנסייה|קיר סטרמר,סוכנויות הידיעות,ynet,he,H10xizanxe_680_646_1792_1009_0_medium,2025-10-03T12:18:19.764076+00:00
QOFrWQHK9IEcmJDI,https://www.ynet.co.il/news/article/byn6117tnxl,"סטרמר ביקר בבית הכנסת במנצ'סטר, אחד משני ההרוגים נורה בשוגג על ידי שוטרים","המשטרה במנצ'סטר הודיעה כי אחד ההרוגים נפגע מירי שוטרים. לפי ההצהרה, ההערכה היא שהמחבל הדורס לא החזיק בנשק חם. ""הפציעה נגרמה מתוצאה טרגית ובלתי צפויה"", נכתב",חדשות|חדשות בעולם,QOFrWQHK9IEcmJDI.jpg,ראש ממשלת בריטניה קיר סטרמר בזירת הפיגוע במנצ,צילום: AP Photo/Ian Hodgson,2025-10-03T13:18:14+03:00,יום כיפור|אנגליה|בריטניה|מנצ'סטר|פיגוע|קיר סטרמר,סוכנויות הידיעות,ynet,he,BJqZ7m6heg_0_312_3000_1689_0_medium,2025-10-03T12:18:19.764113+00:00
7QQk1oM1_MTvBZ2t,https://www.ynet.co.il/news/article/hkkncza3xg,"בג""ץ לא הוציא צו ביניים, זיני ייכנס לתפקיד ראש השב""כ","שופט העליון כבוב נמנע מהוצאת צו ארעי נגד המינוי - והאלוף במילואים דוד זיני יוכל לכהן כראש השירות החל ביום ראשון הקרוב, כפי שאישרה הממשלה פה אחד. הדיון בבג""ץ בעתירות - עד סוף חודש נובמבר",חדשות|פוליטי מדיני|צבא וביטחון,7QQk1oM1_MTvBZ2t.jpg,בנימין נתניהו דוד זיני,"צילום: ABIR SULTAN/AFP,  דובר צה""ל, אלכס קולומויסקי",2025-10-03T13:08:36+03:00,"בג""ץ|שב""כ|דוד זיני",נטעאל בנדל,ynet,he,S1KCTzQnll_0_0_850_479_0_medium,2025-10-03T12:18:19.764160+00:00
QrmIncMOxCvSbSXK,https://www.ynet.co.il/news/article/bjw6hbahgl,בטורקיה טוענים: עצרנו מרגל שפעל בשירות המוסד,"כלי התקשורת בטורקיה דיווחו על מעצרו של אזרח טורקי שריגל אחרי פעיל פלסטיני באיסטנבול, בתמורה ל-4,000 דולר. הוא עבד כבלש פרטי ופעל בשירות המוסד - אך לטענת שירותי הביון הטורקיים נכשל במשימתו",חדשות|חדשות בעולם,QrmIncMOxCvSbSXK.jpg,עומד מול הבניין ומצלם. מתוך התיעוד-סרקן צ,צילום: CNN TURK,2025-10-03T12:47:34+03:00,המוסד|טורקיה|פלסטינים|ריגול,איתמר אייכנר,ynet,he,Sygl00w11p2ge_205_345_536_302_0_medium,2025-10-03T12:18:19.764200+00:00
Q5zRp8112_MLdYs7,https://www.ynet.co.il/news/article/r1ucfztnxx,"תקלה ארצית בסניפים להנפקת רישיון נהיגה בינלאומי: ""לאף אחד לא אכפת""","מסע התלאות בדרך להנפקת רישיון בינלאומי: ל-ynet הגיעו תלונות כי סניפים ברחבי הארץ חווים ""תקלה כוללת"" בתקשורת מול משרד התחבורה, שלא מספק תשובות. אבי ניסה להנפיק רישיון במשך ימים, אך לא הצליח לפני טיסתו לספרד: ""עברתי בכמה סניפים, במשרד התחבורה אמרו לי לשלוח מייל. מה זה יעזור לי?""",חדשות|חדשות בארץ|כללי,Q5zRp8112_MLdYs7.jpg,צילום: אלכס קולומויסקי,צילום: אלכס קולומויסקי,2025-10-03T12:44:44+03:00,משרד התחבורה|רישיון נהיגה|מירי רגב,סיון חילאי,ynet,he,S1vbpsTKex_33_0_796_449_0_medium,2025-10-03T12:18:19.764236+00:00
517ruBWpO4tvYo9M,https://www.ynet.co.il/news/article/h1zi6zanxl,"העליון בהולנד הפך החלטה נגד ייצוא חלקי F-35 לישראל: ""הממשלה תחליט""","בית המשפט העליון הפך את ההחלטה שהתקבלה לפני כשנה וחצי, והטיל על הממשלה את האחריות לבחון את מדיניות הייצוא לישראל. עד קבלת ההחלטה בעוד כ-6 שבועות, האיסור יישאר בתוקף - למרות שהחלקים המיוצאים שייכים לארה""ב. ערכאה נמוכה יותר של בית המשפט קבעה: ההחלטה ""פוליטית בעיקרה""",חדשות|פוליטי מדיני|מדיני,517ruBWpO4tvYo9M.jpg,מטוס F-35-מטוס f-35 של חיל האוויר,צילום: JACK GUEZ / AFP,2025-10-03T12:04:57+03:00,עזה|הולנד|ישראל|רצועת עזה|נשק|חרבות ברזל,רויטרס,ynet,he,B1XMtA0u2_0_222_3000_1689_0_medium,2025-10-03T09:11:35.330100+00:00
WGuad_Cc6e8dDzgW,https://www.ynet.co.il/news/article/s1xdcga3lg,"שליח חב""ד איבד את רגליו מפיצוץ מוקש במילואים בדרום סוריה: ""רוצה לקום לרקוד""","רס""ן במיל' הרב לירז זעירא (42), שנפצע קשה במילוי תפקידו לפני יום כיפור, הוא שליח חב""ד למכללות בירושלים. אחרי שהתברר כי איבד את שתי רגליו, החברים החליטו לגייס כספים עבור שיקומו והמשפחה: ""הוא דוגמה לחרדי שתורם בלי סוף""",חדשות|חדשות בארץ|כללי,WGuad_Cc6e8dDzgW.jpg,הרב לירז זעירא,צילום: יחיאל גורפיין,2025-10-03T11:44:29+03:00,"צה""ל|חרדים|חב""ד|סוריה|רב|מילואים|מוקשים",שילֹה פריד,ynet,he,ryegmdbp3xl_1_298_720_406_0_medium,2025-10-03T09:11:35.330191+00:00
